0x63485ea577a0( idx:212 , bound_parent:154      , border_lr:-1,          gval:200       , attribute:0)
0x63485ea533e0( idx:86  , bound_parent:29       , border_lr:-1,          gval:100       , attribute:107)
0x63485ea53500( idx:51  , bound_parent:108      , border_lr:-1,          gval:50        , attribute:191)
0x63485ea53620( idx:109 , bound_parent:-1       , border_lr:-1,          gval:0 , attribute:228)
0x63485ea54340( idx:168 , bound_parent:130      , border_lr:-1,          gval:250       , attribute:14)
0x63485ea536c0( idx:95  , bound_parent:49       , border_lr:-1,          gval:250       , attribute:0)
0x63485ea532c0( idx:27  , bound_parent:29       , border_lr:-1,          gval:100       , attribute:51)
0x63485ea53f80( idx:154 , bound_parent:160      , border_lr:-1,          gval:100       , attribute:22)
0x63485ea53760( idx:96  , bound_parent:97       , border_lr:-1,          gval:100       , attribute:18)
0x63485ea51560( idx:54  , bound_parent:90       , border_lr:-1,          gval:250       , attribute:11)
0x63485ea53940( idx:181 , bound_parent:51       , border_lr:-1,          gval:100       , attribute:173)
0x63485ea53b20( idx:101 , bound_parent:40       , border_lr:-1,          gval:150       , attribute:24)
0x63485ea52260( idx:33  , bound_parent:51       , border_lr:-1,          gval:50        , attribute:111)
0x63485ea54020( idx:160 , bound_parent:181      , border_lr:-1,          gval:100       , attribute:30)
0x63485ea53e40( idx:152 , bound_parent:95       , border_lr:-1,          gval:250       , attribute:5)
0x63485ea53ee0( idx:153 , bound_parent:154      , border_lr:-1,          gval:100       , attribute:12)
0x63485ea54160( idx:163 , bound_parent:106      , border_lr:-1,          gval:250       , attribute:0)
0x63485ea54200( idx:183 , bound_parent:181      , border_lr:-1,          gval:250       , attribute:4)
